synset,pos,gloss,emotion
SID-02082455-A,adjective,"inspired by a feeling of fearful wonderment or reverence; ""awed by the silence""; ""awful worshippers with bowed heads""",surprise
SID-07424099-N,noun,"a feeling of trust (in someone or something); ""I have confidence in our team""; ""confidence is always borrowed, never owned""",calmness
SID-00966123-N,noun,the action of attacking an enemy,fear
SID-01091430-A,adjective,"deserving or inciting pity; ""a hapless victim""; ""miserable victims of war""; ""the shabby room struck her as extraordinarily pathetic""- Galsworthy; ""piteous appeals for help""; ""pitiable homeless children""; ""a pitiful fate""; ""Oh, you poor thing""; ""his poor distorted limbs""; ""a wretched life""",sadness
SID-00867268-N,noun,going about to look at places of interest,like
SID-00244517-A,adjective,"doing or producing good; ""the most beneficent regime in history""",love
SID-00295862-R,adverb,"in a confused manner; ""Queen Augusta wrote him an hysterical letter in which she confusedly sympathised with him""",disgust
SID-01787793-V,verb,be excited or anxious about,anticipation
SID-00820277-V,verb,"impart skills or knowledge to; ""I taught them French""; ""He instructed me in building a boat""",anticipation
SID-00134148-A,adjective,"angered at something unjust or wrong; ""an indignant denial""; ""incensed at the judges' unfairness""; ""a look of outraged disbelief""; ""umbrageous at the loss of their territory""",disgust
SID-02553734-V,verb,"celebrate, as of holidays or rites; ""Keep the commandments""; ""celebrate Christmas""; ""Observe Yom Kippur""",like
SID-00369221-V,verb,"get warm or warmer; ""The soup warmed slowly on the stove""",like
SID-13214226-N,noun,"money in the form of bills or coins; ""there is a desperate shortage of hard cash""",like
SID-07409610-N,noun,"a specific instance of feeling hopeful; ""it revived their hope of winning the pennant""",hope
SID-01276410-A,adjective,"showing utter resignation or hopelessness; ""abject surrender""",sadness
SID-04756877-N,noun,"a refined quality of gracefulness and good taste; ""she conveys an aura of elegance and gentility""",love
SID-04634691-N,noun,qualities of appearance that do not give pleasure to the senses,disgust
SID-00849227-A,adjective,"having or showing keen interest or intense desire or impatient expectancy; ""eager to learn""; ""eager to travel abroad""; ""eager for success""; ""eager helpers""; ""an eager look""",joy
SID-01789337-V,verb,"attract; cause to be enamored; ""She captured all the men's hearts""",like
SID-05107229-N,noun,"the quality of being important and worthy of note; ""the importance of a well-balanced diet""",anticipation
SID-00146337-R,adverb,"in a surprising manner; ""he was surprisingly friendly""",surprise
SID-01785834-V,verb,"treat cruelly; ""The children tormented the stuttering teacher""",disgust
SID-01768967-V,verb,"make angry; ""The news angered him""",disgust
SID-02302909-A,adjective,"having or revealing supreme mastery or skill; ""a consummate artist""; ""consummate skill""; ""a masterful speaker""; ""masterful technique""; ""a masterly performance of the sonata""; ""a virtuoso performance""",like
SID-02980027-N,noun,something believed to bring good luck,like
SID-07838124-N,noun,"people who are still living; ""save your pity for the living""",joy
SID-07434408-N,noun,remorse for your past conduct,sadness
SID-00225460-N,noun,"termination of operations; ""they regretted the closure of the day care center""",disgust
SID-06688094-N,noun,a joke that seems extremely funny,joy
SID-02275486-V,verb,"present for acceptance or rejection; ""She offered us all a cold drink""",like
SID-06665660-N,noun,a false statement,disgust
SID-08066072-N,noun,"people without possessions or wealth (considered as a group); ""the urban poor need assistance""",disgust
SID-01589076-A,adjective,"beyond normal limits; ""excessive charges""; ""a book of inordinate length""; ""his dress stops just short of undue elegance""; ""unreasonable demands""",anticipation
SID-04174044-N,noun,plumbing fixture consisting of a water basin fixed to a wall or floor and having a drainpipe,disgust
SID-01560026-V,verb,"tear or be torn violently; ""The curtain ripped from top to bottom""; ""pull the cooked chicken into strips""",fear
SID-09244562-N,noun,"an open or empty space in or between things; ""there was a small opening between the trees""; ""the explosion made a gap in the wall""",disgust
SID-02195347-A,adjective,"characterized by a firm and humorless belief in the validity of your opinions; ""both sides were deeply in earnest, even passionate""; ""an entirely sincere and cruel tyrant""; ""a film with a solemn social message""",anticipation
SID-10592214-N,noun,a combatant who is able to defeat rivals,anticipation
SID-02667910-A,adjective,"showing signs of wear and tear; ""a ratty old overcoat""; ""shabby furniture""; ""an old house with dirty windows and tatty curtains""",disgust
SID-00641645-A,adjective,"(weapons) deriving destructive energy from the release of atomic energy; ""nuclear war""; ""nuclear weapons""; ""atomic bombs""",fear
SID-07125255-N,noun,a message informing of danger,fear
SID-01274089-A,adjective,"lacking honor or integrity; deserving dishonor; ""dishonorable in thought and deed""; ""a dishonorable discharge""",disgust
SID-01797252-V,verb,"lower someone's spirits; make downhearted; ""These news depressed her""; ""The bad state of her child's health demoralizes her""",sadness
SID-07436230-N,noun,a feeling of being oppressed,sadness
SID-00856367-V,verb,"utter obscenities or profanities; ""The drunken men were cursing loudly in the street""",disgust
SID-07422512-N,noun,the anxiety you experience when you feel vulnerable and insecure,anger
SID-00619926-A,adjective,"showing or experiencing dissatisfaction or restless longing; ""saw many discontent faces in the room""; ""was discontented with his position""",sadness
SID-00074123-R,adverb,"in a sparse or scanty way; ""a barely furnished room""",disgust
SID-01037433-A,adjective,expressing or manifesting disapproval,disgust
SID-00085207-A,adjective,frightened into submission or compliance,fear
SID-00066785-V,verb,"excrete perspiration through the pores in the skin; ""Exercise makes one sweat""",disgust
SID-09792455-N,noun,someone who fights (or is fighting),fear
SID-06690007-N,noun,"verbal wit or mockery (often at another's expense but not to be taken seriously); ""he became a figure of fun""; ""he said it in sport""",joy
SID-02579357-A,adjective,"being of use or service; ""the girl felt motherly and useful""; ""a useful job""; ""a useful member of society""",like
SID-04825029-N,noun,the quality or character of being intellectually sophisticated and worldly through cultivation or experience or disillusionment,anticipation
SID-01458315-V,verb,"take away to an undisclosed location against their will and usually in order to extract a ransom; ""The industrialist's son was kidnapped""",fear
SID-07440474-N,noun,the feeling that things will turn out badly,despair
SID-01193091-A,adjective,"feeling or expressive of gratitude; ""was appreciative of his efforts""; ""an appreciative word""",like
SID-00366917-R,adverb,"in an impenitent manner; ""he repeated his position unrepentantly""",joy
SID-02404691-A,adjective,"(of light) lacking in intensity or brightness; dim or feeble; ""the pale light of a half moon""; ""a pale sun""; ""the late afternoon light coming through the el tracks fell in pale oblongs on the street""; ""a pallid sky""; ""the pale (or wan) stars""; ""the wan light of dawn""",disgust
SID-06912079-N,noun,"a dramatic work intended for performance by actors on a stage; ""he wrote several plays but only one was produced on Broadway""",ambiguous
SID-07452868-N,noun,"a feeling of strong eagerness (usually in favor of a person or cause); ""they were imbued with a revolutionary ardor""; ""he felt a kind of religious zeal""",joy
SID-00312618-V,verb,"gain in value; ""The yen appreciated again!""",like
SID-01340578-A,adjective,"(often followed by `to') having a preference, disposition, or tendency; ""wasn't inclined to believe the excuse""; ""inclined to be moody""",like
SID-00684046-V,verb,"consider as the favorite; ""The local team was favored""",like
SID-00571269-A,adjective,"feeling or showing worry or solicitude; ""concerned parents of youthful offenders""; ""was concerned about the future""; ""we feel concerned about accomplishing the task at hand""; ""greatly concerned not to disappoint a small child""",anger
SID-07958550-N,noun,the film industry of India,surprise
SID-07432968-N,noun,expressing sorrowfulness,sadness
SID-01881420-A,adjective,"regarded with disfavor or lacking general approval; ""unpopular ideas""; ""an unpopular war""",disgust
SID-08160570-N,noun,a group of soldiers,fear
SID-00444132-R,adverb,"with resentment; in a resentful manner; ""the best doctors would stay resentfully out of the national service, refusing to become the minions of a Minister""",disgust
SID-01229212-N,noun,a deliberate act of destruction or disruption in which equipment is damaged,disgust
SID-00675183-V,verb,"accept as true; take to be true; ""I believed his report""; ""We didn't believe his stories from the War""; ""She believes in spirits""",hope
SID-02650582-A,adjective,"of especially an attitude; ""gave grudging consent""; ""grudging acceptance of his opponent's victory""",disgust
SID-07445512-N,noun,a feeling of ill will arousing active hostility,disgust
SID-01090056-A,adjective,"not favored by fortune; marked or accompanied by or resulting in ill fortune; ""an unfortunate turn of events""; ""an unfortunate decision""; ""unfortunate investments""; ""an unfortunate night for all concerned""",sadness
SID-06312711-N,noun,"the last section of a communication; ""in conclusion I want to say...""",like
SID-14094830-N,noun,any physical damage to the body caused by violence or accident or fracture etc.,sadness
SID-07042854-N,noun,"a discussion in which reasons are advanced for and against some proposition or proposal; ""the argument over foreign aid goes on and on""",disgust
SID-14214758-N,noun,"a display of bad temper; ""he had a fit""; ""she threw a tantrum""; ""he made a scene""",disgust
SID-02851450-N,noun,a shop that sells women's clothes and jewelry,joy
SID-04723503-N,noun,"pleasantness resulting from agreeable conditions; ""a well trained staff saw to the agreeableness of our accommodations""; ""he discovered the amenities of reading at an early age""",joy
SID-01216552-A,adjective,"having or indicating good health in body or mind; free from infirmity or disease; ""a rosy healthy baby""; ""staying fit and healthy""",like
SID-07422354-N,noun,a feeling of mild anxiety about possible developments,anger
SID-04668449-N,noun,"an essential and distinguishing attribute of something or someone; ""the quality of mercy is not strained""--Shakespeare",anticipation
SID-05102667-N,noun,"value measured by what must be given or done or undergone to obtain something; ""the cost in human life was enormous""; ""the price of success is hard work""; ""what price glory?""",disgust
SID-01413739-A,adjective,depressed,sadness
SID-00263415-R,adverb,"in an amicable manner; ""they separated amicably""",like
SID-07428849-N,noun,"the contentment you feel when you have done something right; ""the chef tasted the sauce with great satisfaction""",joy
SID-00416726-R,adverb,"with pessimism; in a pessimistic manner; ""he evaluated his chances for survival rather pessimistically""",despair
SID-07425806-N,noun,"the feeling of lively and cheerful joy; ""he could hardly conceal his excitement when she agreed""",joy
SID-00924442-A,adjective,"having or showing great excitement and interest; ""enthusiastic crowds filled the streets""; ""an enthusiastic response""; ""was enthusiastic about taking ballet lessons""",joy
SID-00434835-R,adverb,"in a warm manner; ""warmly dressed""; ""warm-clad skiers""",like
SID-05032008-N,noun,"a measure of how likely it is that some event will occur; a number expressing the ratio of favorable cases to the whole number of cases possible; ""the probability that an unbiased coin will fall with the head up is 0.5""",hope
SID-01112118-N,noun,"the act of accomplishing some aim or executing some order; ""the agency was created for the implementation of the policy""",fear
SID-00807840-V,verb,"declare untrue; contradict; ""He denied the allegations""; ""She denied that she had taken money""",disgust
SID-10533902-N,noun,a person whose occupation is teaching,anticipation
SID-07078262-N,noun,"concurrence of opinion; ""we are in accord with your proposal""",anticipation
SID-02480419-V,verb,"to cause to do through pressure or necessity, by physical, moral or intellectual means :""She forced him to take a job in the city""; ""He squeezed her for information""",disgust
SID-02215492-N,noun,insects with sucking mouthparts and forewings thickened and leathery at the base; usually show incomplete metamorphosis,fear
SID-00167309-R,adverb,"for an extended time or at a distant time; ""a promotion long overdue""; ""something long hoped for""; ""his name has long been forgotten""; ""talked all night long""; ""how long will you be gone?""; ""arrived long before he was expected""; ""it is long after your bedtime""",disgust
SID-01034085-A,adjective,"not bringing death; ""nonfatal heart attack""",calmness
SID-00849829-A,adjective,"(usually followed by `to') full of eagerness; ""impatient to begin""; ""raring to go""",anger
SID-01871399-A,adjective,"greatly pleasing or entertaining; ""a delightful surprise""; ""the comedy was delightful""; ""a delicious joke""",like
SID-02751458-N,noun,a platform projecting from the wall of a building and surrounded by a balustrade or railing or parapet,like
SID-07413685-N,noun,the absence of mental stress or anxiety,calmness
SID-08472676-N,noun,the boundary of a specific area,disgust
SID-02499988-V,verb,"attain success or reach a desired goal; ""The enterprise succeeded""; ""We succeeded in getting tickets to the show""; ""she struggled to overcome her handicap and won""",like
SID-07412863-N,noun,a feeling of calm; an absence of agitation or excitement,calmness
SID-07382434-N,noun,"a cherished desire; ""his ambition is to own his own business""",anticipation
SID-00973886-A,adjective,"relatively low in price or charging low prices; ""it would have been cheap at twice the price""; ""inexpensive family restaurants""",like
SID-00442026-A,adjective,"soiled or likely to soil with dirt or grime; ""dirty unswept sidewalks""; ""a child in dirty overalls""; ""dirty slums""; ""piles of dirty dishes""; ""put his dirty feet on the clean sheet""; ""wore an unclean shirt""; ""mining is a dirty job""; ""Cinderella did the dirty work while her sisters preened themselves""",disgust
SID-00042117-R,adverb,"by good fortune; ""fortunately the weather was good""",joy
SID-13824793-N,noun,"the state of inactivity following an interruption; ""the negotiations were in arrest""; ""held them in check""; ""during the halt he got some lunch""; ""the momentary stay enabled him to escape the blow""; ""he spent the entire stop in his seat""",disgust
SID-07401317-N,noun,hate coupled with disgust,disgust
SID-04799062-N,noun,the practice of being unjust or unfair,disgust
SID-00741740-A,adjective,"made joyful; ""the sun and the wind on his back made him feel exhilarated--happy to be alive""",joy
SID-01799839-V,verb,make dissatisfied,sadness
SID-00035249-V,verb,"clean one's body or parts thereof, as by washing; ""clean up before you see your grandparents""; ""clean your fingernails before dinner""",like
SID-00198938-R,adverb,"in a convenient manner; ""the switch was conveniently located""",like
SID-07439298-N,noun,feeling sanguine; optimistically cheerful and confident,hope
SID-01725525-A,adjective,expecting the worst in this worst of all possible worlds,despair
SID-01390775-A,adjective,"done or made or performed with purpose and intent; ""style...is more than the deliberate and designed creation""- Havelock Ellis; ""games designed for all ages""; ""well-designed houses""",anticipation
SID-04780862-N,noun,a strong drive for success,ambiguous
SID-00451114-R,adverb,"in an uncomfortably self-conscious manner; ""the little girl self-consciously recited the poem""",disgust
SID-01645239-A,adjective,"vile; despicable; ""a dirty (or lousy) trick""; ""a filthy traitor""",disgust
SID-07411385-N,noun,the feeling of being agitated; not calm,ambiguous
SID-00218685-N,noun,"the act of killing yourself; ""it is a crime to commit suicide""",sadness
SID-09000425-N,noun,a state in south central United States,like
SID-07444385-N,noun,hatred of marriage,disgust
SID-01242219-A,adjective,providing assistance or serving a useful function,like
SID-07415895-N,noun,"a feeling of anger and animosity; ""having one's hackles or dander up""",disgust
SID-00641974-A,adjective,"(weapons) using energy for propulsion or destruction that is not nuclear energy; ""conventional warfare""; ""conventional weapons""",calmness
SID-00754751-N,noun,"(criminal law) an act punishable by law; usually considered an evil act; ""a long record of crimes""",fear
SID-02612588-V,verb,"stay in one place and anticipate or expect something; ""I had to wait on line for an hour to get the tickets""",disgust
SID-01271443-V,verb,"hollow out as if making a cave or opening; ""The river was caving the banks""",disgust
SID-00849781-V,verb,"urge on or encourage especially by shouts; ""The crowd cheered the demonstrating strikers""",joy
SID-02106862-N,noun,any of several large cats typically able to roar and living in the wild,disgust
SID-07409115-N,noun,"excited anticipation of an approaching climax; ""the play kept the audience in suspense""",anticipation
SID-01798041-V,verb,"lessen the intensity of or calm; ""The news eased my conscience""; ""still the fears""",calmness
SID-08085358-N,noun,"a unit that is part of some military service; ""he sent Caesar a force of six thousand men""",ambiguous
SID-05111508-N,noun,the quality of not being important or worthy of note,disgust
SID-00721751-A,adjective,"characterized by quickness and firmness; ""his reply was unhesitating""",calmness
SID-01516243-A,adjective,"feeling or showing love and affection; ""loving parents""; ""loving glances""",love
SID-09998995-N,noun,a person who keeps watch over something or someone,anticipation
SID-01370424-A,adjective,"responsible for or chargeable with a reprehensible act; or marked by guilt; ""guilty of murder""; ""the guilty person""; ""secret guilty deeds""; ""a guilty conscience""; ""guilty behavior""",fear
SID-01133201-N,noun,severely repressive actions,disgust
SID-01439839-V,verb,"pull lightly but sharply with a plucking motion; ""he plucked the strings of his mandolin""",disgust
SID-01417262-A,adjective,expressing sorrow,sadness
SID-09959225-N,noun,a person or animal that is markedly unusual or deformed,disgust
SID-06453816-N,noun,an order that after a specific time certain activities (as being outside on the streets) are prohibited,disgust
SID-01764979-V,verb,"cause sudden fear in or fill with sudden panic; ""The mere thought of an isolation cell panicked the prisoners""",fear
SID-00396794-R,adverb,"in a benevolent manner; ""she looked on benevolently""",love
SID-07406119-N,noun,anxious embarrassment,anger
SID-01423129-A,adjective,"having or showing a tender and considerate and helpful nature; used especially of persons and their behavior; ""kind to sick patients""; ""a kind master""; ""kind words showing understanding and sympathy""; ""thanked her for her kind letter""",calmness
SID-07420305-N,noun,fear of the unknown or unfamiliar or fear of making decisions,fear
SID-08180211-N,noun,an organization of people (or countries) involved in a pact or treaty,anticipation
SID-07442856-N,noun,"a feeling of friendship and esteem; ""she mistook his manly regard for love""; ""he inspires respect""",love
SID-01522220-A,adjective,visible to the naked eye (especially of rocks and anatomical features),disgust
SID-07414249-N,noun,a strong emotion; a feeling that is oriented toward some real or supposed grievance,disgust
SID-00592729-A,adjective,"characterized by often poignant difference or incongruity between what is expected and what actually is; ""madness, an ironic fate for such a clear thinker""; ""it was ironical that the well-planned scheme failed so completely""",ambiguous
SID-00272765-R,adverb,in an ungrateful manner,disgust
SID-13137820-N,noun,charge against a citizen's person or property or activity for the support of government,disgust
SID-02308316-A,adjective,"of textures that are smooth to the touch or substances consisting of relatively small particles; ""wood with a fine grain""; ""fine powdery snow""; ""fine rain""; ""batiste is a cotton fabric with a fine weave""; ""covered with a fine film of dust""",like
SID-01412748-A,adjective,"experiencing or showing sorrow or unhappiness; ""feeling sad because his dog had died""; ""Better by far that you should forget and smile / Than that you should remember and be sad""- Christina Rossetti",sadness
SID-14661233-N,noun,waste matter carried away in sewers or drains,disgust
SID-00216579-A,adjective,"shocking with surprise and consternation; ""the stupefying impact of the tragedy""",surprise
SID-01116061-A,adjective,"characteristic of or befitting a friend; ""friendly advice""; ""a friendly neighborhood""; ""the only friendly person here""; ""a friendly host and hostess""",like
SID-06295213-N,noun,a short poem of songlike quality,like
SID-00386941-V,verb,"become stultified, suppressed, or stifled; ""He is suffocating--living at home with his aged parents in the small village""",fear
SID-01183341-A,adjective,hating mankind in general,disgust
SID-00297997-A,adjective,"lacking in light; not bright or harsh; ""a dim light beside the bed""; ""subdued lights and soft music""",disgust
SID-13875408-N,noun,impairment of normal physiological function affecting part or all of an organism,disgust
SID-00086347-A,adjective,"thrown into a state of intense fear or desperation; ""became panicky as the snow deepened""; ""felt panicked before each exam""; ""trying to keep back the panic-stricken crowd""; ""the terrified horse bolted""",fear
SID-00055489-R,adverb,"in a terrible manner; ""she sings terribly""",hate
SID-01515604-A,adjective,caused to be unloved,disgust
SID-07840192-N,noun,"people who are free; ""the home of the free and the brave""",like
SID-02616657-A,adjective,lacking in sympathy or feeling,disgust
SID-04510869-N,noun,"any instrument or instrumentality used in fighting or hunting; ""he was licensed to carry a weapon""",fear
SID-01773590-V,verb,"cause to feel embarrassment; ""The constant attention of the young man confused her""",disgust
SID-02924951-A,adjective,"of or relating to a profession; ""we need professional advice""; ""professional training""; ""professional equipment for his new office""",like
SID-07446390-N,noun,a feeling of deep and bitter anger and ill-will,disgust
SID-00394562-R,adverb,in a livid manner,disgust
SID-00188507-A,adjective,"attracting and holding interest as if by a spell; ""read the bedtime story in a hypnotic voice""; ""she had a warm mesmeric charm""; ""the sheer force of his presence was mesmerizing""; ""a spellbinding description of life in ancient Rome""",anticipation
SID-00176533-A,adjective,"inclined to bold and confident assertion; aggressively self-assured; ""an energetic assertive boy who was always ready to argue""; ""pointing directly at a listener is an assertive act""",calmness
SID-07398046-N,noun,"a feeling of liking something or someone good; ""although she fussed at them, she secretly viewed all her children with approval""",like
SID-01011167-A,adjective,"fashionable and attractive at the time; often skilled or socially adept; ""he's a cool dude""; ""that's cool""; ""Mary's dress is really cool""; ""it's not cool to arrive at a party too early""",calmness
SID-10062128-N,noun,someone who is the first to think of or make something,anticipation
SID-00882630-V,verb,"stand behind and guarantee the quality, accuracy, or condition of; ""The dealer warrants all the cars he sells""; ""I warrant this information""",like
SID-02053322-A,adjective,"tending to bring discredit or disrepute; blameworthy; ""his marks were not at all discreditable""",disgust
SID-02874622-A,adjective,"belonging to or characteristic of romanticism or the Romantic Movement in the arts; ""romantic poetry""",love
SID-01192466-N,noun,"the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose; ""he gave me an assist with the housework""; ""could not walk without assistance""; ""rescue party went to their aid""; ""offered his help in unloading""",hope
SID-07443158-N,noun,disposition to do good,love
SID-01183015-V,verb,"satisfy in a limited way; ""He contented himself with one glass of beer per day""",joy
SID-06620295-N,noun,harsh criticism or disapproval,disgust
SID-00011541-R,adverb,"(`ill' is often used as a combining form) in a poor or improper or unsatisfactory manner; not well; ""he was ill prepared""; ""it ill befits a man to betray old friends""; ""the car runs badly""; ""he performed badly on the exam""; ""the team played poorly""; ""ill-fitting clothes""; ""an ill-conceived plan""",disgust
SID-06920810-N,noun,drama in which the protagonist is overcome by some superior force or circumstance; excites terror or pity,sadness
SID-00182872-A,adjective,"marked by keen caution and watchful prudence; ""they were wary in their movements""; ""a wary glance at the black clouds""; ""taught to be wary of strangers""",anticipation
SID-00061760-N,noun,"an attainment that is successful; ""his success in the marathon was unexpected""; ""his new play was a great success""",joy
SID-02176408-A,adjective,"typical of tabloids; ""sensational journalistic reportage of the scandal""; ""yellow press""",ambiguous
SID-00960312-A,adjective,"causing a surge of emotion or excitement; ""she gave a electrifying performance""; ""a thrilling performer to watch""",ambiguous
SID-00665931-V,verb,judge to be right or commendable; think well of,like
SID-00174595-A,adjective,suffering shame,disgust
SID-10144976-N,noun,directs the work of other,anticipation
SID-13784195-N,noun,the state prevailing during the absence of war,fear
SID-02483927-V,verb,"compel through a sense of shame; ""She shamed him into making amends""",disgust
SID-07395863-N,noun,a feeling of great liking for something wonderful and unusual,like
SID-06690508-N,noun,a comic incident or series of incidents,like
SID-10542223-N,noun,"a person who inspires fear or dread; ""he was the terror of the neighborhood""",fear
SID-00844815-A,adjective,"lacking in liveliness or animation; ""he was so dull at parties""; ""a dull political campaign""; ""a large dull impassive man""; ""dull days with nothing to do""; ""how dull and dreary the world is""; ""fell back into one of her dull moods""",disgust
SID-00314181-A,adjective,"like or characteristic of or befitting a sister; ""sisterly kindness""; ""sororal concern""",disgust
SID-05736526-N,noun,a productive insight,hope
SID-07968033-N,noun,"a social unit living together; ""he moved his family to Virginia""; ""It was a good Christian household""; ""I waited until the whole house was asleep""; ""the teacher asked how many people made up his home""",like
SID-02402394-A,adjective,"having little physical or spiritual strength; ""a weak link""",disgust
SID-01236649-A,adjective,"weighing heavily on the senses or spirit; ""the atmosphere was oppressive""; ""oppressive sorrows""",sadness
SID-02255578-A,adjective,"open and genuine; not deceitful; ""he was a good man, decent and sincere""; ""felt sincere regret that they were leaving""; ""sincere friendship""",like
SID-00174925-R,adverb,"in a patient manner; ""he patiently played with the child""",calmness
SID-02257096-A,adjective,"lacking sincerity; ""a charming but thoroughly insincere woman""; ""their praise was extravagant and insincere""",disgust
SID-07413064-N,noun,a feeling of calmness; a quiet and undisturbed feeling,calmness
SID-14256157-N,noun,"a healthy state of wellbeing free from disease; ""physicians should be held responsible for the health of their patients""",like
SID-01244643-A,adjective,providing no assistance,disgust
SID-07452304-N,noun,understanding and entering into another's feelings,like
SID-07204758-N,noun,unnecessary and unforeseen trouble resulting from an unfortunate event,disgust
SID-07286578-N,noun,"sound of any kind (especially unintelligible or dissonant sound); ""he enjoyed the street noises""; ""they heard indistinct noises of people talking""; ""during the firework display that ended the gala the noise reached 98 decibels""",disgust
SID-01521276-V,verb,"make soiled, filthy, or dirty; ""don't soil your clothes when you play outside!""",disgust
SID-10521160-N,noun,someone who is under suspicion,fear
SID-00287870-N,noun,a march of all the guests at the opening of a formal dance,like
SID-01252773-A,adjective,"literal meanings; being at or having a relatively small elevation or upward extension; ""low ceilings""; ""low clouds""; ""low hills""; ""the sun is low""; ""low furniture""; ""a low bow""",ambiguous
SID-13198681-N,noun,a large amount of wealth or prosperity,like
SID-00464386-R,adverb,in a sorrowful manner,sadness
SID-00960789-A,adjective,pleasantly and superficially exciting,joy
SID-00174778-R,adverb,"in an impatient manner; ""he answered her impatiently""",anger
SID-02611303-A,adjective,"thrown away; ""wearing someone's cast-off clothes""; ""throwaway children living on the streets""; ""salvaged some thrown-away furniture""",disgust
SID-00319969-R,adverb,"in a dispirited manner without hope; ""the first Mozartian opera to be subjected to this curious treatment ran dispiritedly for five performances""",sadness
SID-07396097-N,noun,"a strong liking; ""my own preference is for good literature""; ""the Irish have a penchant for blarney""",like
SID-01703077-A,adjective,"(used especially of persons) having lived for a relatively long time or attained a specific age; ""an old man's eagle mind""--William Butler Yeats; ""his mother is very old""; ""a ripe old age""; ""how old are you?""",disgust
SID-01168164-A,adjective,"having desirable or positive qualities especially those suitable for a thing specified; ""good news from the hospital""; ""a good report card""; ""when she was good she was very very good""; ""a good knife is one good for cutting""; ""this stump will make a good picnic table""; ""a good check""; ""a good joke""; ""a good exterior paint""; ""a good secretary""; ""a good dress for the office""",like
SID-00965827-N,noun,the use of bombs for sabotage; a tactic frequently used by terrorists,fear
SID-00532110-A,adjective,"feeling or expressing sorrow or pity; ""a pitying observer threw his coat around her shoulder""",sadness
SID-02523327-A,adjective,"located on a side; ""side fences""; ""the side porch""",disgust
SID-00309345-N,noun,an ocean trip taken for pleasure,joy
SID-06919372-N,noun,light and humorous drama with a happy ending,joy
SID-01795909-V,verb,"make unhappy; ""The news of her death saddened me""",sadness
SID-02131501-A,adjective,"fraught with danger; ""dangerous waters""; ""a parlous journey on stormy seas""; ""a perilous voyage across the Atlantic in a small boat""; ""the precarious life of an undersea diver""; ""dangerous surgery followed by a touch-and-go recovery""",disgust
SID-01574821-A,adjective,"(used of persons) informal intensifiers; ""what a bally (or blinking) nuisance""; ""a bloody fool""; ""a crashing bore""; ""you flaming idiot""",disgust
SID-00311174-R,adverb,"in a diffident manner; ""`Oh, well,' he shrugged diffidently, `I like the work.'""",fear
SID-13102319-N,noun,an additional payment (or other remuneration) to employees as a means of increasing output,like
SID-02646172-V,verb,fulfil the requirements or expectations of,joy
SID-06525881-N,noun,"a form of entertainment that enacts a story by a sequence of images giving the illusion of continuous movement; ""they went to a movie every Saturday night""; ""the film was shot on location""",joy
SID-10276164-N,noun,a thief who steals from the pockets or purses of others in public places,fear
SID-00125753-R,adverb,"by hand; ""this car shifts manually""",disgust
SID-01009756-A,adjective,"within normal everyday experience; common and ordinary; not strange; ""familiar ordinary objects found in every home""; ""a familiar everyday scene""; ""a familiar excuse""; ""a day like any other filled with familiar duties and experiences""",love
SID-00614800-V,verb,"be a mystery or bewildering to; ""This beats me!""; ""Got me--I don't know the answer!""; ""a vexing problem""; ""This question really stuck me""",surprise
SID-00221350-N,noun,"killing someone by gunfire; ""when the shooting stopped there were three dead bodies""",fear
SID-00202613-R,adverb,"with malice; in a malicious manner; ""she answered maliciously""",disgust
SID-00791715-V,verb,"fail to fulfill a promise or obligation; ""She backed out of her promise""",disgust
SID-01757795-V,verb,"look down on with disdain; ""He despises the people he has to work for""; ""The professor scorns the students who don't catch on immediately""",disgust
SID-07412084-N,noun,"an extreme state of worry and agitation; ""his stewing over the fight kept him awake most of the night""",anger
SID-02616430-A,adjective,"marked by warmth of feeling like kindness and sympathy and generosity; ""gave a warmhearted welcome to the stranger""",love
SID-07443566-N,noun,a loving feeling,love
SID-00288172-N,noun,"the act of walking with a slow heavy gait; ""I could recognize his plod anywhere""",disgust
SID-07442744-N,noun,a feeling of protective affection,love
SID-02742393-V,verb,"emit a cloud of fine particles; ""The chimney was fuming""",disgust
SID-13934383-N,noun,an acute febrile highly contagious viral disease,fear
SID-07416935-N,noun,"a feeling of intense annoyance caused by being tormented; ""so great was his harassment that he wanted to destroy his tormentors""",disgust
SID-00741302-A,adjective,"joyful and proud especially because of triumph or success; ""rejoicing crowds filled the streets on VJ Day""; ""a triumphal success""; ""a triumphant shout""",joy
SID-07446677-N,noun,"intense resentment; ""his promotion caused much heartburning among his rivals""",disgust
SID-01092258-A,adjective,abused or oppressed by people in power,sadness
SID-02236048-A,adjective,"unable to see; ""a person is blind to the extent that he must devise alternative techniques to do efficiently those things he would do with sight if he had normal vision""--Kenneth Jernigan",sadness
SID-07214657-N,noun,"an event resulting in great loss and misfortune; ""the whole city was affected by the irremediable calamity""; ""the earthquake was a disaster""",sadness
SID-00134899-A,adjective,"vehemently incensed and condemnatory; ""they trembled before the wrathful queen""; ""but wroth as he was, a short struggle ended in reconciliation""",disgust
SID-00897850-V,verb,"express complaints, discontent, displeasure, or unhappiness; ""My mother complains all day""; ""She has a lot to kick about""",sadness
SID-10283734-N,noun,a man devoted to the pursuit of pleasure,disgust
SID-07439096-N,noun,the optimistic feeling that all is going to turn out well,hope
